순,학교(출발),천안아산역,학교(도착),운행 특이사항
1,8:10,8:25,8:40,
2,Χ,8:35,8:50,금(X)
3,Χ,8:45,9:00,월~수 2대 운영
4,Χ,8:50,9:05,금(X)
5,Χ,8:55,9:10,
6,Χ,9:00,9:15,월~화 2대 운영
7,Χ,9:05,9:20,1대만 운영/ 금(X)
8,Χ,9:10,9:25,
9,9:40,9:55,10:10,
10,9:55,10:10,10:25,시간변경
11,10:30,10:45,11:00,금(X)
12,10:40,10:55,11:10,금(X)
13,10:55,11:10,11:25,시간변경
14,11:30,11:45,12:00,금(X)
15,11:40,11:55,12:10,
16,11:50,12:05,12:20,금(X)
17,12:40,12:55,13:10,
18,13:40,14:00,14:15,"하교시 탕정역 경유, 학생회관 승차 가능"
19,13:50,14:05,14:20,"금(X), 학생회관 승차 가능"
20,14:40,15:00,15:15,"하교시 탕정역 경유, 학생회관 승차 가능"
21,14:50,15:05,15:20,"금(X), 학생회관 승차 가능"
22,15:30,15:45,16:00,금(X) / 학생회관 승차 가능
23,15:40,16:00,16:15,하교시 탕정역 경유
24,15:50,16:05,16:20,금(X)
25,16:30,16:45,17:00,금(X)
26,16:40,17:00,17:15,하교시 탕정역 경유
27,16:50,17:05,17:20,금(X)
28,17:30,17:45,18:00,금(X)
29,17:40,18:00,18:15,하교시 탕정역 경유
30,17:50,18:05,18:20,금(X)
31,18:20,18:35,18:50,금(X)/시간변경
32,18:35,18:55,19:10,하교시 탕정역 경유/시간변경
33,18:45,19:00,19:15,금(X)/시간변경
34,19:45,20:05,20:20,"하교시 탕정역 경유, 학생회관 승차 가능"
35,20:45,21:00,21:15,학생회관 승차 가능
36,21:15,21:30,21:45,학생회관 승차 가능
